id,genre
0,Romance
1,Youth
2,Drama
3,Fantasy
4,Life
5,Action
6,Medical
7,Thriller
8,Mystery
9,Supernatural
10,Crime
11,Melodrama
12,Historical
13,Comedy
14,Psychological
15,Political
16,Military
17,Law
18,Sci-Fi
19,Family
20,Horror
21,Sports
22,Food
23,Business
