title_id,tag
18452-goblin,Older Man/Younger Woman
18452-goblin,Interspecies Romance
18452-goblin,Dokkaebi
18452-goblin,Fate
18452-goblin,Bromance
18452-goblin,Death
18452-goblin,Tearjerker
18452-goblin,Age Gap [Drama Life]
18452-goblin,Secondary Couple (Vote or add tags)
21934-stranger,Suspense
21934-stranger,Investigation
21934-stranger,Corruption
21934-stranger,Crime Solving Duo
21934-stranger,Murder
21934-stranger,Calm Male Lead
21934-stranger,Alexithymia
21934-stranger,Strong Female Lead
21934-stranger,Smart Female Lead
21934-stranger,Psychological (Vote or add tags)
62085-a-wonderful-rumor,Found Family
62085-a-wonderful-rumor,Evil Spirit
62085-a-wonderful-rumor,Righteous Male Lead
62085-a-wonderful-rumor,Teamwork
62085-a-wonderful-rumor,Strong Female Lead
62085-a-wonderful-rumor,Orphan Male Lead
62085-a-wonderful-rumor,Multiple Mains
62085-a-wonderful-rumor,Spirit
62085-a-wonderful-rumor,Hidden Identity
62085-a-wonderful-rumor,Nice Male Lead (Vote or add tags)
61399-dress-sleeved-red,Noble Man/Common Woman
61399-dress-sleeved-red,Palace Setting
61399-dress-sleeved-red,Tearjerker
61399-dress-sleeved-red,Joseon Dynasty
61399-dress-sleeved-red,Strong Male Lead
61399-dress-sleeved-red,Death
61399-dress-sleeved-red,Male Chases Female First
61399-dress-sleeved-red,Smart Female Lead
61399-dress-sleeved-red,Master-Servant Relationship
61399-dress-sleeved-red,King Male Lead (Vote or add tags)
695149-twenty-five-twenty-one,Coming Of Age
695149-twenty-five-twenty-one,Nostalgia
695149-twenty-five-twenty-one,Fencing
695149-twenty-five-twenty-one,Nice Male Lead
695149-twenty-five-twenty-one,Friendship
695149-twenty-five-twenty-one,Character Development
695149-twenty-five-twenty-one,Competition
695149-twenty-five-twenty-one,IMF Crisis
695149-twenty-five-twenty-one,High School To Working Life
695149-twenty-five-twenty-one,Reporter Male Lead (Vote or add tags)
59001-d-p-dog-day,Military Abuse
59001-d-p-dog-day,Violence
59001-d-p-dog-day,Bromance
59001-d-p-dog-day,Desertion
59001-d-p-dog-day,Harassment
59001-d-p-dog-day,Dark Fiction
59001-d-p-dog-day,Humiliation
59001-d-p-dog-day,Adapted From A Webtoon
59001-d-p-dog-day,Sexual Assault
59001-d-p-dog-day,Miniseries (Vote or add tags)
720737-morning-comes-to-the-mental-ward,Nurse Female Lead
720737-morning-comes-to-the-mental-ward,Mental Illness
720737-morning-comes-to-the-mental-ward,Psychiatry
720737-morning-comes-to-the-mental-ward,Healing
720737-morning-comes-to-the-mental-ward,Nice Female Lead
720737-morning-comes-to-the-mental-ward,Mental Hospital Setting
720737-morning-comes-to-the-mental-ward,Depression
720737-morning-comes-to-the-mental-ward,Doctor Male Lead
720737-morning-comes-to-the-mental-ward,Inspired By Real Events
720737-morning-comes-to-the-mental-ward,Co-workers' Relationship (Vote or add tags)
753495-love-supremacy-zone,Transmigration
753495-love-supremacy-zone,Virtual World
753495-love-supremacy-zone,LGBTQ+
753495-love-supremacy-zone,Game World
753495-love-supremacy-zone,Gay Romance
753495-love-supremacy-zone,Adapted From A Webtoon
753495-love-supremacy-zone,Student Male Lead
753495-love-supremacy-zone,School Setting
753495-love-supremacy-zone,Senior-Junior Relationship
753495-love-supremacy-zone,Gay Male Lead (Vote or add tags)
52921-model-taxi,Revenge
52921-model-taxi,Strong Male Lead
52921-model-taxi,Adapted From A Webtoon
52921-model-taxi,Investigation
52921-model-taxi,Taxi Driver Male Lead
52921-model-taxi,Prosecutor Female Lead
52921-model-taxi,Teamwork
52921-model-taxi,Injustice
52921-model-taxi,Based On True Story
52921-model-taxi,Secret Organization (Vote or add tags)
22806-kingdom,Joseon Dynasty
22806-kingdom,Adapted From A Webtoon
22806-kingdom,Power Struggle
22806-kingdom,Gore
22806-kingdom,Survival
22806-kingdom,Strong Male Lead
22806-kingdom,Nice Male Lead
22806-kingdom,Epidemic
22806-kingdom,Corruption
22806-kingdom,Zombies (Vote or add tags)
696751-missing-the-other-side-2,Searching For A Child
696751-missing-the-other-side-2,Village Setting
696751-missing-the-other-side-2,Cold Case
696751-missing-the-other-side-2,Hacker Female Lead
696751-missing-the-other-side-2,Righteous Male Lead
696751-missing-the-other-side-2,Social Justice
696751-missing-the-other-side-2,Afterlife
696751-missing-the-other-side-2,Orphan Male Lead
696751-missing-the-other-side-2,Spirit
696751-missing-the-other-side-2,Missing Person (Vote or add tags)
30740-sky-castle,Family Secret
30740-sky-castle,Social Commentary
30740-sky-castle,Family Pressure
30740-sky-castle,Satire
30740-sky-castle,Multiple Mains
30740-sky-castle,Sibling Rivalry
30740-sky-castle,Birth Secret
30740-sky-castle,Female Centered Plot
30740-sky-castle,Suicide
30740-sky-castle,Black Comedy (Vote or add tags)
19262-weightlifting-fairy-kim-bok-joo,Friends To Lovers
19262-weightlifting-fairy-kim-bok-joo,Weightlifting
19262-weightlifting-fairy-kim-bok-joo,Strong Female Lead
19262-weightlifting-fairy-kim-bok-joo,Healing
19262-weightlifting-fairy-kim-bok-joo,First Love
19262-weightlifting-fairy-kim-bok-joo,Bantering Relationship
19262-weightlifting-fairy-kim-bok-joo,Male Chases Female First
19262-weightlifting-fairy-kim-bok-joo,Swimming
19262-weightlifting-fairy-kim-bok-joo,Slow Burn Romance
19262-weightlifting-fairy-kim-bok-joo,Sismance (Vote or add tags)
744135-the-killer-s-shopping-mall,Strong Female Lead
744135-the-killer-s-shopping-mall,Weak To Strong
744135-the-killer-s-shopping-mall,Anti-Villain Male Lead
744135-the-killer-s-shopping-mall,Graphic Violence
744135-the-killer-s-shopping-mall,Former Soldier Supporting Character
744135-the-killer-s-shopping-mall,Former Soldier Male Lead
744135-the-killer-s-shopping-mall,Sniper Supporting Character
744135-the-killer-s-shopping-mall,Villain Supporting Character
744135-the-killer-s-shopping-mall,Death Of A Mother
744135-the-killer-s-shopping-mall,Businessman Male Lead (Vote or add tags)
74275-youth-of-may,Star Crossed Lovers
74275-youth-of-may,1980s
74275-youth-of-may,Tearjerker
74275-youth-of-may,Rich Man/Poor Woman
74275-youth-of-may,Gwangju Uprising
74275-youth-of-may,Nice Male Lead
74275-youth-of-may,Strong Female Lead
74275-youth-of-may,Smart Female Lead
74275-youth-of-may,Forbidden Love
74275-youth-of-may,Martial Law (Vote or add tags)
38301-romantic-doctor-teacher-kim-2,Slow Burn Romance
38301-romantic-doctor-teacher-kim-2,Healing
38301-romantic-doctor-teacher-kim-2,Character Development
38301-romantic-doctor-teacher-kim-2,Surgeon Male Lead
38301-romantic-doctor-teacher-kim-2,Friends To Lovers
38301-romantic-doctor-teacher-kim-2,Love/Hate Relationship
38301-romantic-doctor-teacher-kim-2,Hardworking Female Lead
38301-romantic-doctor-teacher-kim-2,Hospital Setting
38301-romantic-doctor-teacher-kim-2,Rich Woman/Poor Man
38301-romantic-doctor-teacher-kim-2,Smart Female Lead (Vote or add tags)
15845-dear-my-friends,Life Lesson
15845-dear-my-friends,Mother-Daughter Relationship
15845-dear-my-friends,Mother-Son Relationship
15845-dear-my-friends,Sismance
15845-dear-my-friends,Family Conflict
15845-dear-my-friends,Multiple Couples
15845-dear-my-friends,Generational Conflict
15845-dear-my-friends,Multiple Mains
15845-dear-my-friends,Friendship
15845-dear-my-friends,Slight Comedy (Vote or add tags)
26949-life-on-mars,1980s
26949-life-on-mars,Police Procedural
26949-life-on-mars,Bromance
26949-life-on-mars,Calm Male Lead
26949-life-on-mars,Smart Male Lead
26949-life-on-mars,Strong Female Lead
26949-life-on-mars,Coma
26949-life-on-mars,Murder
26949-life-on-mars,Investigation
26949-life-on-mars,Thriller (Vote or add tags)
699557-inside-criminal-minds,Investigation
699557-inside-criminal-minds,Murder
699557-inside-criminal-minds,Empathic Male Lead
699557-inside-criminal-minds,Calm Male Lead
699557-inside-criminal-minds,Suspense
699557-inside-criminal-minds,1990s
699557-inside-criminal-minds,2000s
699557-inside-criminal-minds,Time Skip
699557-inside-criminal-minds,Offender Profiling
699557-inside-criminal-minds,Death (Vote or add tags)
62087-the-demon-judge,Dark Fiction
62087-the-demon-judge,Manipulative Female Lead
62087-the-demon-judge,Rivalry
62087-the-demon-judge,Dystopia
62087-the-demon-judge,Corruption
62087-the-demon-judge,Bromance
62087-the-demon-judge,Strong Female Lead
62087-the-demon-judge,Hardworking Male Lead
62087-the-demon-judge,Unrequited Love
62087-the-demon-judge,Tragic Past (Vote or add tags)
75433-rocket-boy-squad,Badminton
75433-rocket-boy-squad,Friendship
75433-rocket-boy-squad,Rural Life
75433-rocket-boy-squad,Sport Club
75433-rocket-boy-squad,Tough Male Lead
75433-rocket-boy-squad,Slight Romance
75433-rocket-boy-squad,Multiple Mains
75433-rocket-boy-squad,Arrogant Female Lead
75433-rocket-boy-squad,Heartwarming
75433-rocket-boy-squad,Childhood Connection (Vote or add tags)
60911-monster,Determined Male Lead
60911-monster,Investigation
60911-monster,Suspense
60911-monster,Murder
60911-monster,Trauma
60911-monster,Psychological Manipulation
60911-monster,Smart Male Lead
60911-monster,Death
60911-monster,Corruption
60911-monster,Father-Son Relationship (Vote or add tags)
34667-arthdal-chronicles-season-3,Power Struggle
34667-arthdal-chronicles-season-3,War
34667-arthdal-chronicles-season-3,Supernatural Power
34667-arthdal-chronicles-season-3,Strong Female Lead
34667-arthdal-chronicles-season-3,Curse
34667-arthdal-chronicles-season-3,Revenge
34667-arthdal-chronicles-season-3,Superhuman Strength
34667-arthdal-chronicles-season-3,Pre-Produced
34667-arthdal-chronicles-season-3,Class Conflict
34667-arthdal-chronicles-season-3,Antihero Male Lead (Vote or add tags)
746529-skz-flix,School Setting
746529-skz-flix,Student Male Lead
746529-skz-flix,Screenwriter Supporting Character
746529-skz-flix,Producer Supporting Character
746529-skz-flix,Actor Male Lead
746529-skz-flix,Director Supporting Character
746529-skz-flix,Male Centered Plot
746529-skz-flix,Theatre/Drama Club
746529-skz-flix,Chasing A Dream
746529-skz-flix,Filmmaking (Vote or add tags)
34665-arthdal-chronicles-season-2,War
34665-arthdal-chronicles-season-2,Power Struggle
34665-arthdal-chronicles-season-2,Slavery
34665-arthdal-chronicles-season-2,Good Twin/Evil Twin
34665-arthdal-chronicles-season-2,Strong Female Lead
34665-arthdal-chronicles-season-2,Revenge
34665-arthdal-chronicles-season-2,Character Development
34665-arthdal-chronicles-season-2,Father-Daughter Relationship
34665-arthdal-chronicles-season-2,Strong Male Lead
34665-arthdal-chronicles-season-2,Political Intrigue (Vote or add tags)
683929-mr-hong,Nice Male Lead
683929-mr-hong,Nice Female Lead
683929-mr-hong,Cheerful Male Lead
683929-mr-hong,Hardworking Male Lead
683929-mr-hong,Hardworking Female Lead
683929-mr-hong,Smart Female Lead
683929-mr-hong,Opposites Attract
683929-mr-hong,Character Development
683929-mr-hong,Healing
683929-mr-hong,Strong Male Lead (Vote or add tags)
32917-partners-for-justice-2,Forensic Science
32917-partners-for-justice-2,Forensic Medical Examiner Male Lead
32917-partners-for-justice-2,Prosecutor Supporting Character
32917-partners-for-justice-2,Age Gap [Drama Life]
32917-partners-for-justice-2,Age Gap [Real Life]
32917-partners-for-justice-2,Prosecutor Female Lead
32917-partners-for-justice-2,Doctor Male Lead
32917-partners-for-justice-2,Serial Killings
32917-partners-for-justice-2,Teamwork
32917-partners-for-justice-2,Rich Female Lead (Vote or add tags)
14324-six-flying-dragons,Revolution
14324-six-flying-dragons,Power Struggle
14324-six-flying-dragons,Political Intrigue
14324-six-flying-dragons,Sword-fight
14324-six-flying-dragons,Smart Male Lead
14324-six-flying-dragons,Taejong
14324-six-flying-dragons,Scheme
14324-six-flying-dragons,Taejo
14324-six-flying-dragons,Goryeo Dynasty
14324-six-flying-dragons,Bromance (Vote or add tags)
15999-moon-lovers-scarlet-heart-ryeo,Goryeo Dynasty
15999-moon-lovers-scarlet-heart-ryeo,Rivalry
15999-moon-lovers-scarlet-heart-ryeo,Smart Male Lead
15999-moon-lovers-scarlet-heart-ryeo,Love/Hate Relationship
15999-moon-lovers-scarlet-heart-ryeo,Power Struggle
15999-moon-lovers-scarlet-heart-ryeo,Jealousy
15999-moon-lovers-scarlet-heart-ryeo,Possessive Male Lead
15999-moon-lovers-scarlet-heart-ryeo,Secret Relationship
15999-moon-lovers-scarlet-heart-ryeo,Sibling Rivalry
15999-moon-lovers-scarlet-heart-ryeo,First Love (Vote or add tags)
34064-sweet-home,Monster
34064-sweet-home,Survival
34064-sweet-home,Character Development
34064-sweet-home,Gore
34064-sweet-home,Supernatural Phenomena
34064-sweet-home,Trauma
34064-sweet-home,Adapted From A Webtoon
34064-sweet-home,Paranormal
34064-sweet-home,Death
34064-sweet-home,Nice Male Lead (Vote or add tags)
21576-while-you-were-sleeping,Precognition
21576-while-you-were-sleeping,Nice Male Lead
21576-while-you-were-sleeping,Murder
21576-while-you-were-sleeping,Tragic Past
21576-while-you-were-sleeping,First Love
21576-while-you-were-sleeping,Childhood Acquaintance
21576-while-you-were-sleeping,Fated Love
21576-while-you-were-sleeping,Smart Male Lead
21576-while-you-were-sleeping,Cheerful Male Lead
21576-while-you-were-sleeping,Eccentric Female Lead (Vote or add tags)
28686-hand,Exorcism
28686-hand,Death
28686-hand,Demon
28686-hand,Shamanism
28686-hand,Murder
