เดือน,ปี,โครงการ,จำนวนผู้โดยสารรวม,จำนวนผู้โดยสารเฉลี่ยรายวัน,จำนวนผู้โดยสารเฉลี่ยรายวันธรรมดา,จำนวนผู้โดยสารเฉลี่ยรายวันหยุด
มกราคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1827785,58961,67781,37401
กุมภาพันธ์,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1664132,57384,68406,36442
มีนาคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1227632,39601,47436,20450
เมษายน,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,439198,14640,18001,6797
พฤษภาคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,674483,21758,28009,14167
มิถุนายน,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1094334,36478,41688,24320
กรกฎาคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1442882,46545,57069,29882
สิงหาคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1643622,53020,63799,33422
กันยายน,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1754362,58479,70104,35228
ตุลาคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1759392,56755,69885,32882
พฤศจิกายน,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1745557,58185,68739,39956
ธันวาคม,2563,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1563252,50427,60659,31825
