เดือน,ปี,โครงการ,จำนวนผู้โดยสารรวม,จำนวนผู้โดยสารเฉลี่ยรายวัน,จำนวนผู้โดยสารเฉลี่ยรายวันธรรมดา,จำนวนผู้โดยสารเฉลี่ยรายวันหยุด
มกราคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,874003,28194,34487,16750
กุมภาพันธ์,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1081904,38639,45915,25543
มีนาคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1519467,49015,55731,29707
เมษายน,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,793625,26454,34035,16541
พฤษภาคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,521799,16832,21761,10848
มิถุนายน,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,677959,22599,26239,14104
กรกฎาคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,466159,15037,18583,8590
สิงหาคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,379297,12235,14893,6655
กันยายน,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,571916,19064,21269,13918
ตุลาคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,786150,25360,29789,19227
พฤศจิกายน,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1029934,34331,38315,23376
ธันวาคม,2564,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1139649,36763,42899,25607
