เดือน,ปี,โครงการ,จำนวนผู้โดยสารรวม,จำนวนผู้โดยสารเฉลี่ยรายวัน,จำนวนผู้โดยสารเฉลี่ยรายวันธรรมดา,จำนวนผู้โดยสารเฉลี่ยรายวันหยุด
มกราคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1325182,42748,50011,27495
กุมภาพันธ์,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1266376,45228,51381,29846
มีนาคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1395112,45004,51731,30877
เมษายน,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1224975,40833,51597,26756
พฤษภาคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1396565,45050,53101,30412
มิถุนายน,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1498926,49964,57088,33341
กรกฎาคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1507014,48613,58741,30199
สิงหาคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1680922,54223,62892,33034
กันยายน,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1603576,53453,62352,35653
ตุลาคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1590420,51304,60299,32414
พฤศจิกายน,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1652091,55070,62003,36004
ธันวาคม,2561,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1483635,47859,58140,33624
