เดือน,ปี,โครงการ,จำนวนผู้โดยสารรวม,จำนวนผู้โดยสารเฉลี่ยรายวัน,จำนวนผู้โดยสารเฉลี่ยรายวันธรรมดา,จำนวนผู้โดยสารเฉลี่ยรายวันหยุด
มกราคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1591763,51347,59159,32252
กุมภาพันธ์,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1443333,51548,60349,32967
มีนาคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1664735,53701,61262,37284
เมษายน,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1458908,48630,61016,30052
พฤษภาคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1530913,52790,62586,34177
มิถุนายน,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1675410,55847,67272,36112
กรกฎาคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1745717,56313,67705,35601
สิงหาคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1809166,58360,68989,36039
กันยายน,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1743133,58104,67377,36468
ตุลาคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1729692,55797,65407,35614
พฤศจิกายน,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1755398,58513,67547,42910
ธันวาคม,2562,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1574699,52490,65266,35783
