เดือน,ปี,โครงการ,จำนวนผู้โดยสารรวม,จำนวนผู้โดยสารเฉลี่ยรายวัน,จำนวนผู้โดยสารเฉลี่ยรายวันธรรมดา,จำนวนผู้โดยสารเฉลี่ยรายวันหยุด
มกราคม,2565,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,949885,30641,36093,20729
กุมภาพันธ์,2565,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,980551,35020,40477,23499
มีนาคม,2565,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1013287,32684,36292,22313
เมษายน,2565,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,903899,30130,37815,20080
พฤษภาคม,2565,โครงการรถไฟฟ้ามหานคร สายฉลองรัชธรรม,1198303,38655,47597,26274
