title_id,genre
56933-love-storm,Drama
681019-i-told-sunset-about-you-part-2,Romance
681019-i-told-sunset-about-you-part-2,Life
681019-i-told-sunset-about-you-part-2,Youth
681019-i-told-sunset-about-you-part-2,Drama
682581-mama-gogo,Business
682581-mama-gogo,Comedy
682581-mama-gogo,Romance
682581-mama-gogo,Drama
714201-my-only-12,Romance
714201-my-only-12,Life
714201-my-only-12,Youth
743919-only-friends,Romance
743919-only-friends,Youth
743919-only-friends,Drama
67107-girl-from-nowhere-season-2,Mystery
67107-girl-from-nowhere-season-2,Horror
67107-girl-from-nowhere-season-2,Psychological
67107-girl-from-nowhere-season-2,Drama
31878-a-gift-to-the-people-you-hate,Thriller
31878-a-gift-to-the-people-you-hate,Mystery
31878-a-gift-to-the-people-you-hate,Horror
31878-a-gift-to-the-people-you-hate,Drama
28744-likhit-haeng-jan,Historical
28744-likhit-haeng-jan,Comedy
28744-likhit-haeng-jan,Romance
28744-likhit-haeng-jan,Supernatural
16323-padiwaradda,Action
16323-padiwaradda,Historical
16323-padiwaradda,Romance
16323-padiwaradda,Drama
27416-khun-mae-suam-roy,Mystery
27416-khun-mae-suam-roy,Comedy
27416-khun-mae-suam-roy,Romance
27416-khun-mae-suam-roy,Drama
759257-dead-friend-forever-dff,Action
759257-dead-friend-forever-dff,Thriller
759257-dead-friend-forever-dff,Drama
69667-kinnporsche,Action
69667-kinnporsche,Romance
69667-kinnporsche,Crime
69667-kinnporsche,Drama
10377-leh-nangfah,Comedy
10377-leh-nangfah,Romance
10377-leh-nangfah,Fantasy
23888-project-s-the-series-spike,Youth
23888-project-s-the-series-spike,Sports
23888-project-s-the-series-spike,Melodrama
687145-wayla-gam-tay,Romance
687145-wayla-gam-tay,Drama
687145-wayla-gam-tay,Family
33335-jao-gum-nai-wen,Romance
33335-jao-gum-nai-wen,Drama
33335-jao-gum-nai-wen,Melodrama
61275-lovely-writer,Comedy
61275-lovely-writer,Romance
61275-lovely-writer,Drama
715929-you-are-my-favorite,Romance
715929-you-are-my-favorite,Life
715929-you-are-my-favorite,Supernatural
26461-thong-eak-mor-yah-tah-chaloang,Historical
26461-thong-eak-mor-yah-tah-chaloang,Comedy
26461-thong-eak-mor-yah-tah-chaloang,Romance
26461-thong-eak-mor-yah-tah-chaloang,Medical
705281-remember-you,Action
705281-remember-you,Thriller
705281-remember-you,Mystery
705281-remember-you,Drama
31863-blacklist,Mystery
31863-blacklist,Youth
31863-blacklist,Drama
23893-nueng-dao-fah-diew,Action
23893-nueng-dao-fah-diew,Historical
23893-nueng-dao-fah-diew,Romance
23893-nueng-dao-fah-diew,Political
725033-hak-lay-my-lady,Mystery
725033-hak-lay-my-lady,Romance
725033-hak-lay-my-lady,Drama
58151-game-prattana,Business
58151-game-prattana,Romance
58151-game-prattana,Drama
58151-game-prattana,Family
49993-sleepless-society-khun-fan-luang,Thriller
49993-sleepless-society-khun-fan-luang,Mystery
49993-sleepless-society-khun-fan-luang,Psychological
49993-sleepless-society-khun-fan-luang,Drama
23397-sampatan-hua-jai,Action
23397-sampatan-hua-jai,Romance
23397-sampatan-hua-jai,Drama
16465-u-prince-the-series-the-crazy-artist,Music
16465-u-prince-the-series-the-crazy-artist,Comedy
16465-u-prince-the-series-the-crazy-artist,Romance
16465-u-prince-the-series-the-crazy-artist,Youth
19674-ra-rerng-fai,Romance
19674-ra-rerng-fai,Drama
715907-vice-versa,Romance
715907-vice-versa,Youth
715907-vice-versa,Drama
715907-vice-versa,Fantasy
715925-good-old-days,Romance
715925-good-old-days,Life
715925-good-old-days,Drama
715925-good-old-days,Melodrama
51229-tunnel,Thriller
51229-tunnel,Mystery
51229-tunnel,Psychological
51229-tunnel,Sci-Fi
16667-sotus-the-series,Comedy
16667-sotus-the-series,Romance
16667-sotus-the-series,Youth
16667-sotus-the-series,Drama
715897-never-let-me-go,Action
715897-never-let-me-go,Romance
715897-never-let-me-go,Youth
710409-put-your-head-on-my-shoulder,Comedy
710409-put-your-head-on-my-shoulder,Romance
710409-put-your-head-on-my-shoulder,Youth
710409-put-your-head-on-my-shoulder,Drama
