Date,Open,High,Low,Close,Adj Close,Volume
2022-07-07,378.000000,378.000000,376.000000,378.000000,378.000000,1425300
2022-07-08,378.000000,379.000000,375.000000,379.000000,379.000000,1734100
2022-07-11,379.000000,379.000000,376.000000,379.000000,379.000000,1290600
2022-07-12,379.000000,379.000000,374.000000,375.000000,375.000000,2611800
2022-07-14,375.000000,375.000000,371.000000,374.000000,374.000000,2485300
2022-07-15,372.000000,373.000000,367.000000,371.000000,371.000000,2460700
